X, Y ,Z
-62.56607,12.87545, 11.80223
-62.03804,11.32035, 13.43419
-60.1077,10.69775, 12.55805
-62.60173,12.89575, 11.78892
-62.07728,11.33656, 13.42655
-60.14476,10.71412, 12.54324
-62.62852,12.911, 11.77892
-62.10675,11.34874, 13.42081
-60.1726,10.72642, 12.53211
-62.66396,12.93117, 11.76568
-62.14576,11.36485, 13.41321
-60.20943,10.74269, 12.51738
-62.71784,12.96184, 11.74557
-62.20504,11.38934, 13.40166
-60.26543,10.76742, 12.49499
-62.73052,12.96905, 11.74084
-62.21899,11.3951, 13.39894
-60.27861,10.77324, 12.48973
-62.76719,12.98992, 11.72715
-62.25935,11.41177, 13.39108
-60.31672,10.79007, 12.47449
-62.80289,13.01024, 11.71382
-62.29863,11.428, 13.38343
-60.35382,10.80646, 12.45965
-62.83207,13.02685, 11.70293
-62.33074,11.44126, 13.37718
-60.38414,10.81985, 12.44753
-62.86752,13.04702, 11.68969
-62.36974,11.45737, 13.36958
-60.42097,10.83612, 12.4328
-62.89472,13.06251, 11.67954
-62.39967,11.46974, 13.36375
-60.44925,10.84861, 12.4215
-62.92944,13.08227, 11.66658
-62.43788,11.48552, 13.3563
-60.48533,10.86455, 12.40707
-62.96474,13.10236, 11.6534
-62.47672,11.50156, 13.34874
-60.52201,10.88075, 12.39241
-62.99306,13.11848, 11.64283
-62.50789,11.51444, 13.34267
-60.55145,10.89375, 12.38064
-62.54552,11.52998, 13.33533
-60.58699,10.90945, 12.36643
-62.58372,11.54576, 13.3279
-60.62307,10.92539, 12.35201
-62.62291,11.56195, 13.32026
-60.66008,10.94174, 12.33721
-60.69647,10.95781, 12.32266
-60.7235,10.96975, 12.31185
-59.93173,12.52656, 16.81752
-59.96492,12.55189, 16.8277
-59.98951,12.57065, 16.83523
-60.02261,12.5959, 16.84537
-60.05492,12.62056, 16.85527
-60.08787,12.64571, 16.86537
-60.11347,12.66524, 16.87321
-60.14555,12.68972, 16.88304
-60.17844,12.71482, 16.89312
-57.8677,12.2407, 14.67731
-60.21142,12.73999, 16.90322
-57.88217,12.25657, 14.67611
-60.24491,12.76554, 16.91349
-57.63128,14.19154, 15.99318
-57.91135,12.28856, 14.67367
-60.26891,12.78386, 16.92084
-57.64685,14.21809, 15.99744
-57.93225,12.31148, 14.67193
-60.30163,12.80883, 16.93086
-57.66808,14.25428, 16.00325
-57.96075,12.34273, 14.66955
-60.33469,12.83406, 16.941
-57.68953,14.29086, 16.00911
-57.98955,12.37431, 14.66715
-60.37051,12.8614, 16.95197
-57.71277,14.33049, 16.01547
-58.02076,12.40852, 14.66454
-60.39225,12.87799, 16.95863
-57.72688,14.35453, 16.01933
-58.03969,12.42928, 14.66296
-60.42434,12.90247, 16.96846
-57.74769,14.39003, 16.02502
-58.06764,12.45992, 14.66063
-60.45719,12.92754, 16.97853
-57.76901,14.42637, 16.03085
-58.09625,12.4913, 14.65825
-60.48978,12.95241, 16.98852
-57.79016,14.46243, 16.03664
-58.12465,12.52243, 14.65588
-60.5224,12.9773, 16.99851
-57.81131,14.49851, 16.04242
-58.15306,12.55358, 14.65351
-60.54713,12.99617, 17.00609
-57.82736,14.52587, 16.04681
-58.1746,12.5772, 14.65171
-60.58021,13.02142, 17.01622
-57.84882,14.56246, 16.05268
-58.20341,12.6088, 14.6493
-60.61325,13.04663, 17.02635
-57.87026,14.59901, 16.05854
-58.23219,12.64035, 14.6469
-60.6408,13.06765, 17.03479
-57.88814,14.62949, 16.06343
-58.2562,12.66667, 14.6449
-60.67105,13.09074, 17.04406
-57.90776,14.66296, 16.0688
-58.28255,12.69556, 14.6427
-60.70457,13.11632, 17.05433
-57.92952,14.70004, 16.07475
-58.31175,12.72758, 14.64027
-60.73669,13.14083, 17.06417
-57.95035,14.73557, 16.08045
-58.33973,12.75825, 14.63793
-60.76247,13.16051, 17.07207
-57.96708,14.76409, 16.08503
-58.36218,12.78287, 14.63606
-60.79465,13.18506, 17.08193
-57.98796,14.79969, 16.09074
-58.39021,12.8136, 14.63372
-60.82784,13.21039, 17.0921
-58.00949,14.83641, 16.09663
-58.41912,12.84531, 14.63131
-60.86071,13.23547, 17.10217
-58.03082,14.87277, 16.10246
-58.44775,12.8767, 14.62892
-60.88551,13.2544, 17.10977
-58.04691,14.9002, 16.10686
-58.46936,12.90038, 14.62712
-60.91873,13.27975, 17.11995
-58.06846,14.93695, 16.11275
-58.49829,12.93211, 14.6247
-60.95114,13.30448, 17.12988
-58.08949,14.9728, 16.11851
-58.52652,12.96306, 14.62235
-60.98473,13.33011, 17.14017
-58.11128,15.00996, 16.12447
-58.55578,12.99514, 14.61991
-61.00863,13.34835, 17.1475
-58.12679,15.0364, 16.12871
-58.5766,13.01797, 14.61817
-61.042,13.37381, 17.15772
-58.14843,15.07331, 16.13463
-58.60567,13.04984, 14.61574
-61.07521,13.39916, 17.1679
-58.16999,15.11006, 16.14052
-58.6346,13.08156, 14.61333
-61.10822,13.42435, 17.17801
-58.1914,15.14658, 16.14638
-58.66336,13.11309, 14.61093
-61.14248,13.45049, 17.18851
-58.21363,15.18447, 16.15246
-58.6932,13.14581, 14.60844
-61.16461,13.46738, 17.19529
-58.22799,15.20895, 16.15639
-58.71247,13.16694, 14.60683
-61.19747,13.49246, 17.20536
-58.24931,15.24531, 16.16222
-61.23075,13.51786, 17.21556
-58.2709,15.28213, 16.16812
-61.2634,13.54277, 17.22556
-58.29208,15.31824, 16.17392
-61.2871,13.56086, 17.23282
-58.30746,15.34446, 16.17812
-61.32347,13.58861, 17.24397
-58.33106,15.3847, 16.18458
-61.35049,13.60923, 17.25224
-58.34859,15.41458, 16.18937
-61.38184,13.63315, 17.26185
-58.36892,15.44926, 16.19493
-61.41448,13.65806, 17.27185
-58.39011,15.48537, 16.20073
-61.44606,13.68216, 17.28153
-58.41059,15.52031, 16.20633
-61.47866,13.70704, 17.29152
-58.43175,15.55638, 16.21212
-61.50294,13.72557, 17.29896
-58.4475,15.58324, 16.21642
-61.53667,13.75131, 17.30929
-58.46938,15.62055, 16.22241
-61.56768,13.77496, 17.31879
-58.4895,15.65484, 16.22791
-61.59993,13.79957, 17.32867
-58.51042,15.69052, 16.23363
-61.6334,13.82512, 17.33893
-58.53214,15.72755, 16.23957
-61.66652,13.85039, 17.34908
-58.55363,15.76419, 16.24545
-61.69054,13.86872, 17.35644
-58.56921,15.79076, 16.24971
-61.72432,13.8945, 17.36679
-58.59113,15.82813, 16.25571
-61.75356,13.91682, 17.37575
-58.6101,15.86048, 16.2609
-61.78505,13.94084, 17.3854
-58.63053,15.89531, 16.26649
-61.81741,13.96554, 17.39531
-58.65153,15.93112, 16.27223
-61.84302,13.98508, 17.40316
-61.87429,14.00894, 17.41274
-61.90767,14.03441, 17.42297
-61.93996,14.05906, 17.43286
-61.97236,14.08378, 17.44279
-62.00529,14.10891, 17.45288
-58.70681,15.62619, 21.66195
-58.72175,15.65039, 21.6831
-57.76866,12.42498, 19.76551
-58.7382,15.67704, 21.70638
-57.77377,12.43098, 19.77197
-58.75626,15.7063, 21.73194
-57.79525,12.4562, 19.79913
-58.77356,15.73434, 21.75643
-57.81584,12.48037, 19.82516
-58.79116,15.76284, 21.78133
-57.83677,12.50494, 19.85163
-58.80502,15.78531, 21.80095
-57.85326,12.52431, 19.87248
-58.82283,15.81416, 21.82616
-57.87444,12.54918, 19.89927
-58.84062,15.84299, 21.85134
-57.89561,12.57403, 19.92603
-58.85828,15.8716, 21.87634
-57.91661,12.59869, 19.95259
-58.87696,15.90186, 21.90277
-56.7527,15.42031, 20.86629
-57.93883,12.62478, 19.98069
-58.89012,15.92319, 21.92141
-56.76142,15.44383, 20.88488
-57.95449,12.64317, 20.00049
-58.90798,15.95213, 21.94669
-56.77326,15.47575, 20.91012
-57.97574,12.66812, 20.02736
-58.92574,15.98091, 21.97182
-56.78504,15.50749, 20.93521
-57.99686,12.69292, 20.05407
-58.94363,16.00989, 21.99715
