X, Y, Z
-54.39014,8.576862,13.84206
-54.38758,8.616144,13.8349
-54.22559,8.633308,13.74257
X, Y, Z
-39.95023,2.41573,8.784993
-39.88871,2.631241,9.222786
-42.9558,2.98162,8.906514
-51.89626,2.508429,8.690616
-51.50207,2.936637,8.670896
-57.42957,4.315701,12.58596
-56.87334,3.830518,13.22463
-56.6939,3.957326,13.18349
-56.45149,3.894451,13.21312
-55.86887,3.730516,13.48811
-55.50207,3.073959,13.47729
-56.87625,5.411994,13.84166
-56.77396,5.418039,13.90511
-55.20222,5.230494,13.4547
-55.17871,5.285666,13.37047
-55.04511,5.288077,13.36958
-54.53077,5.360828,13.23682
-54.17176,5.448202,13.38835
-55.18134,7.170415,13.84998
-55.16116,7.154335,13.81174
-55.06318,7.159376,13.75544
-55.08846,7.151072,13.72739
-54.90779,7.256048,13.83259
-54.93421,7.240453,13.81313
-54.85577,7.216572,13.74924
-54.84082,7.191326,13.79063
-54.70368,7.184211,13.79948
-54.63682,7.194458,13.79698
-54.63377,7.186833,13.78378
-54.50568,7.213551,13.90318
-54.42714,7.260602,13.9254
-54.14987,8.217758,13.76574
-54.10892,8.220866,13.73837
-53.96122,8.231678,13.81878
-53.84423,8.205793,13.8071
-53.86098,8.365713,13.76114
X, Y, Z
-48.36185,3.84458,5.699186
-40.84441,2.882603,7.991272
-40.71805,3.165805,8.0859
-58.4235,3.080517,12.7998
-57.43832,3.632872,12.67865
-56.66047,2.593669,13.1449
-56.05008,2.907946,13.81753
-55.80635,3.027183,13.65625
-55.72195,3.601105,13.42171
-50.5834,5.379198,17.38801
-50.65899,5.435237,17.58503
-55.73417,6.04213,13.15841
-55.73301,5.965398,13.32941
-55.70331,5.872256,13.44198
-55.59647,5.866153,13.50104
-55.32139,5.801175,13.40133
-54.30035,5.539067,13.66955
-54.22364,5.560065,13.68061
-55.8513,7.184503,13.19826
-55.86912,7.124488,13.21919
-55.79711,7.187592,13.34211
-55.75439,7.121603,13.42636
-55.69536,7.092062,13.53174
-55.6692,7.058351,13.56825
-55.49036,7.11447,13.65999
-55.34073,7.13337,13.6341
-55.26809,7.117298,13.6789
-55.01639,7.14226,13.89678
X, Y, Z
-42.07595,2.172304,9.181719
-43.00503,2.669164,7.833691
-50.07943,4.109907,7.670782
-50.67303,3.464414,7.617997
-51.0371,3.726948,7.817439
-59.25237,3.05554,8.272187
-60.92852,3.384016,8.44943
-55.52203,3.624564,13.17526
-55.55581,3.638388,12.99003
-49.17727,5.43371,18.00184
-49.65398,5.562662,17.75135
-49.85916,5.457472,17.75408
-49.97784,5.436328,17.61801
-52.35752,5.469632,17.48166
-54.04722,4.999829,17.55314
-54.10628,5.099336,17.51042
-54.25108,5.253237,17.49015
-54.23515,5.298262,17.43654
-54.43349,5.53278,17.34496
-56.18061,6.688007,13.73617
-56.16534,6.690413,13.77616
-56.02903,6.851949,13.87605
-56.00494,6.856678,13.88368
-55.8102,7.075713,13.8639
-55.83072,7.05758,13.86387
-55.84126,7.069369,13.87531
-55.45255,7.033121,13.82451
-54.70457,7.279156,14.01899
-54.49714,7.264727,13.90888
-54.61061,7.378936,17.2288
-55.09473,8.119925,13.6287
-55.12269,8.103632,13.58706
-54.99374,8.161786,13.75069
X, Y, Z
-41.37785,3.874613,6.543406
-45.51542,3.597631,9.945375
-45.72972,3.551048,8.485184
-45.95531,2.792422,8.312858
-54.6713,3.935361,8.586859
-59.53708,3.644164,13.73514
-47.70435,2.895373,12.15027
-53.95541,3.613347,17.85399
-54.01731,3.537186,17.82377
-54.27795,3.437436,17.98289
-52.00194,5.040351,17.5627
-52.51692,4.897426,17.37895
-52.59303,5.004625,17.3914
-55.554,5.665678,13.28534
-55.15561,5.775733,13.28523
-54.47159,5.71534,13.22968
-54.35276,5.791472,13.23957
-54.26776,5.767378,13.29237
-54.03864,5.749323,13.28251
-52.52818,5.578621,13.09305
-56.25384,7.16293,13.40218
-55.38742,7.247478,13.26131
-55.38449,7.284693,13.26592
-55.26567,7.470957,13.37282
-54.57112,7.444683,13.69362
-54.41957,7.399872,13.72925
-54.06677,7.264861,13.84786
-54.04645,7.255079,13.83084
-54.02593,7.216036,13.80533
-53.62013,7.24623,13.89938
-53.59993,7.224196,13.89319
-53.5587,7.160679,13.93122
-53.55563,7.143935,14.0193
-53.49738,7.194961,13.93535
-54.8324,8.489221,13.81054
-54.83562,8.487242,13.82155
-54.75692,8.484153,13.80137
